seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
8021110354770553254,1,240,24,1586.5064078583657,931.8255,417.14757452503244,237.53333333333333,21699
-2857252930512765336,1,240,24,1456.191665478071,846.4411333333334,396.7505321447375,213.0,21113
-7812221498982111148,1,240,24,2925.022704763213,2100.6727,411.2666714298794,413.0833333333333,20654
-7510419691157840177,1,240,24,3741.1702818938306,2875.915883333333,405.35439856049726,459.9,20706
-7071340376525705332,1,240,24,2563.792243308224,1819.8521166666667,423.3567933082239,320.5833333333333,19580
877666931228277042,1,240,24,1425.5720415348812,761.59875,440.6566248682147,223.31666666666666,21036
-5046187612984056373,1,240,24,2272.0935957059955,1572.1191666666666,413.60776237266225,286.3666666666667,19532
3899333552010959426,1,240,24,3250.0924021581186,2384.0816666666665,450.02740215811866,415.98333333333335,20678
-6931757535691957313,1,240,24,1148.4099379303343,563.0717833333333,435.8381545970011,149.5,20774
-6043311491463559320,1,240,24,2330.3927559259546,1581.5115333333333,428.28122259262113,320.6,20949
-307735301741450467,1,240,24,1443.8419113678497,814.9919,400.3500113678498,228.5,20692
-3270762235634308812,1,240,24,1806.486505216104,1155.7975166666668,411.4056552161038,239.28333333333333,20737
2810679252812039039,1,240,24,1687.3669730731453,1057.2137833333334,409.0698564064787,221.08333333333334,21450
-3518294424623621793,1,240,24,2405.894832533275,1626.9062166666668,439.02194919994145,339.96666666666664,19774
677512701306014825,1,240,24,1280.1299881515756,684.4412666666667,411.2720548182421,184.41666666666666,20319
1536439552090741827,1,240,24,2912.201011802368,2132.0508833333333,416.0667951357012,364.0833333333333,20395
2082345573704187612,1,240,24,2461.7017293793406,1691.2528833333333,433.24884604600726,337.2,21306
-5762506590109036521,1,240,24,2570.2294786698317,1799.63295,414.5631953364985,356.03333333333336,20723
-6303153958613861140,1,240,24,2424.832838275511,1711.4480166666667,396.5848216088443,316.8,20888
-4025334479023592240,1,240,24,2446.4827740312494,1678.4746,424.02484069791586,343.98333333333335,20895
503906148437178291,1,240,24,2814.731088481497,1988.4706,431.26048848149674,395.0,20623
549499069055205659,1,240,24,2028.200350374419,1291.3478,438.85255037441897,298.0,21087
-3425419613554027817,1,240,24,2174.906354919825,1484.5887833333334,390.4675715864916,299.85,21735
-422305145314522324,1,240,24,3902.25071319981,3023.6864833333334,411.6808965331434,466.8833333333333,19919
3281473766858603477,1,240,24,2903.889121297692,2117.2301,454.0423546310247,332.6166666666667,20962
-7547181162916862861,1,240,24,1625.1115462711812,973.78035,413.4145296045144,237.91666666666666,20973
232669330084540651,1,240,24,2326.924108646821,1537.6374666666666,436.6533086468213,352.6333333333333,21209
-8365347774648746415,1,240,24,1107.9466807447027,520.5159833333333,417.51403074470255,169.91666666666666,20585
2475680974470875666,1,240,24,2666.813932859855,1877.9941,398.21983285985505,390.6,21267
-8341180322803544185,1,240,24,2090.635002812894,1354.34195,417.37638614622733,318.9166666666667,21235
-3434762241311623220,1,240,24,2403.2015580331085,1670.3421166666667,426.5761080331087,306.28333333333336,21016
4298792178775576451,1,240,24,1730.056430767207,1060.48235,432.624080767207,236.95,19861
2337.909787764994std=834.1268763844068

