seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
647836301658713295,2,240,24,1740.8813949029868,848.7826666666666,646.3820615696536,245.71666666666667,10143,0
-71164265115712545,2,240,24,1684.3281676394124,831.7762333333334,621.6019343060791,230.95,9508,0
-481587656727886274,2,240,24,1577.2550034192418,712.1278,641.2272034192416,223.9,10005,0
-4655524451843305732,2,240,24,1612.064356661712,752.2921333333334,622.7222233283786,237.05,10765,0
-1727967857368879678,2,240,24,1668.7307532246098,825.4875833333333,594.8265032246096,248.41666666666666,9836,0
5771633175417198029,2,240,24,1685.6542810468861,817.0273833333333,621.2102310468861,247.41666666666666,10657,0
782583506969552992,3,240,24,1543.6127558875135,714.9025833333334,612.7435058875134,215.96666666666667,7856,0
-5541464229484342020,3,240,24,1386.1566123446285,619.72725,557.0960290112951,209.33333333333334,8974,0
5203306459365885672,3,240,24,1701.6859511656728,852.4299666666667,611.9559844990061,237.3,9079,0
7642908639498411342,3,240,24,1697.7958436482277,858.2243333333333,579.1881769815611,260.3833333333333,9046,0
-2451299337107840008,3,240,24,1500.5784099859425,689.6898166666666,579.9885933192759,230.9,9186,0
5928283818417923153,3,240,24,1526.7832371234458,694.0647833333334,615.1017871234458,217.61666666666667,9116,0
2461734090402507026,3,240,24,1566.126468614134,744.4381333333333,591.321668614134,230.36666666666667,8844,0
2134024673109844781,3,240,24,1514.0229931284205,678.8879333333333,609.9517264617538,225.18333333333334,9338,0
-8961300118901020200,3,240,24,1617.022949472993,789.2973333333333,578.8089494729932,248.91666666666666,9552,0
8075292919129901534,3,240,24,1910.3515162151054,1007.04735,620.0041662151054,283.3,9559,0
-8261313408374103090,3,240,24,1771.6607908476155,869.5302,639.147257514282,262.98333333333335,8842,0
7674419966232165276,3,240,24,1722.497367491779,867.65525,614.5754508251124,240.26666666666668,9447,0
7109546606045534716,3,240,24,1512.8458055359363,678.14635,623.0161222026029,211.68333333333334,8138,0
6556361022965809331,3,240,24,1860.9354154005807,985.4743833333333,599.1443654005808,276.31666666666666,9406,0
-8727434480880003295,3,240,24,1460.1275716742055,660.2978166666667,583.2464216742056,216.58333333333334,8621,0
316214762330218711,3,240,24,1452.757361339742,652.1924666666666,583.8982280064084,216.66666666666666,8997,0
511168606054560241,3,240,24,1310.6713955920277,558.04265,567.9787455920276,184.65,8786,0
-6944560613166325532,3,240,24,1623.371472723107,810.6573833333333,588.6640893897736,224.05,8417,0
8502646895184153456,3,240,24,1658.0322229309209,815.1919833333334,602.3402395975874,240.5,9170,0
-6150989588647184654,3,240,24,1615.9606796784592,772.3362333333333,617.2077796784591,226.41666666666666,8407,0
