seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
4270183515862994556,1,240,24,1483.2933019679162,827.5309,473.0457353012497,182.71666666666667,5533,3
6897316562374909112,1,240,24,4524.151673937205,3456.22575,483.19259060387134,584.7333333333333,6603,8
-2255782773862605881,1,240,24,3826.444459646394,2862.73035,480.49744297972757,483.21666666666664,5960,10
4773041614751148754,1,240,24,2291.53408230972,1509.0345833333333,473.3328323097201,309.1666666666667,6196,5
-1212073219054294370,1,240,24,4118.042776097684,3070.1320166666665,519.3774260976833,528.5333333333333,6327,6
2318980217557802098,1,240,24,2865.848185457338,1960.5858,466.7290521240046,438.53333333333336,6528,6
4963369176482231765,1,240,24,3409.019076252015,2505.3568666666665,498.145542918682,405.51666666666665,5756,5
-6534064855532587567,1,240,24,1489.570304453977,763.4619166666666,486.6583877873105,239.45,6322,3
2680789421804199641,1,240,24,4031.6114957438867,3083.6689333333334,471.65922907722006,476.28333333333336,6512,6
-6576476538661813573,1,240,24,2281.2122988805377,1465.7376333333334,501.54133221387116,313.93333333333334,6258,4
8021110354770553254,1,240,24,2719.3760542321284,1825.65585,523.0368708987949,370.68333333333334,5452,6
-2857252930512765336,1,240,24,2464.5833765515295,1673.0155333333332,476.6178432181963,314.95,5749,6
-7812221498982111148,1,240,24,4391.824886479281,3340.190666666667,522.4342198126149,529.2,5710,9
-7510419691157840177,1,240,24,4321.834819231304,3350.647016666667,489.13780256463707,482.05,6118,7
-7071340376525705332,1,240,24,5092.762063828389,3974.2177,531.4110304950557,587.1333333333333,6267,6
877666931228277042,1,240,24,2528.6177747223655,1645.58445,517.9166580556988,365.1166666666667,5194,6
-5046187612984056373,1,240,24,3072.8569539867185,2182.13915,514.2011373200523,376.51666666666665,6047,3
3899333552010959426,1,240,24,3293.24989537063,2328.7445,512.4220620372965,452.0833333333333,5500,6
-6931757535691957313,1,240,24,1518.4000871275987,838.1503,506.83312046093187,173.41666666666666,5342,2
-6043311491463559320,1,240,24,4923.499845885585,3907.6248166666664,458.1916958855852,557.6833333333333,5824,7
-307735301741450467,1,240,24,1820.5194498521732,1053.18265,496.60346651884,270.73333333333335,5771,5
-3270762235634308812,1,240,24,2499.4063224321453,1682.0959166666667,508.74373909881183,308.56666666666666,5418,8
2810679252812039039,1,240,24,2306.454932866458,1520.9982666666667,506.65666619979106,278.8,5166,4
-3518294424623621793,1,240,24,2760.215158135563,1950.6103166666667,453.9381748022296,355.6666666666667,5597,7
677512701306014825,1,240,24,2160.264125047686,1402.72555,484.3552417143526,273.18333333333334,5451,5
1536439552090741827,1,240,24,2462.625289701807,1655.7051333333334,487.7368230351404,319.18333333333334,5397,5
2082345573704187612,1,240,24,2436.266494558605,1592.6685,481.5646612252714,362.03333333333336,5828,7
-5762506590109036521,1,240,24,3357.523555607929,2451.607466666667,470.98275560792916,434.93333333333334,5479,7
-6303153958613861140,1,240,24,2771.796955696496,1890.9185,504.8784556964959,376.0,5746,8
-4025334479023592240,1,240,24,3801.0639276866304,2797.3461833333336,479.33441101996357,524.3833333333333,5421,5
503906148437178291,1,240,24,3855.5230891162582,2853.299683333333,488.6067391162584,513.6166666666667,5740,9
549499069055205659,1,240,24,2708.3196384051325,1802.60485,524.131455071799,381.5833333333333,5871,8
-3425419613554027817,1,240,24,3348.5222202923055,2445.8091,483.57978695897253,419.1333333333333,7484,8
-422305145314522324,1,240,24,5143.986747812908,4056.7518833333334,467.4015311462419,619.8333333333334,7124,9
3281473766858603477,1,240,24,1747.2350555263022,1009.3796166666667,493.8554388596355,244.0,6918,3
-7547181162916862861,1,240,24,3815.931926331806,2840.2573666666667,500.8912263318062,474.78333333333336,7582,8
232669330084540651,1,240,24,4493.888353091075,3507.1895,472.78218642440845,513.9166666666666,7518,8
-8365347774648746415,1,240,24,955.8964568226484,342.35605,506.29040682264844,107.25,6591,1
2475680974470875666,1,240,24,3492.202117217371,2495.9420333333333,514.5100838840377,481.75,6969,7
-8341180322803544185,1,240,24,4054.5806691360053,3084.908483333333,499.2555191360055,470.4166666666667,7383,9
-3434762241311623220,1,240,24,3645.2874906632646,2649.9898,522.4976906632645,472.8,7442,8
4298792178775576451,1,240,24,1673.7426897145951,946.8503333333333,507.0756897145953,219.81666666666666,6675,4
-7957044372948131353,1,240,24,4809.892325529374,3714.057566666667,479.0014255293741,616.8333333333334,5706,9
4614750230693932922,1,240,24,1995.0862157782938,1223.4698666666666,480.533015778294,291.0833333333333,5368,4
-8576278027271341537,1,240,24,4600.447806976779,3502.77685,513.6209569767789,584.05,5587,7
2620419548744943181,1,240,24,3018.44534584046,2078.1317166666668,492.01362917379294,448.3,5619,8
4181379648142469311,1,240,24,4422.429039233535,3438.954166666667,486.6915392335346,496.78333333333336,6778,7
-5380447195547476744,1,240,24,2304.061663289435,1471.0698333333332,469.47516328943493,363.51666666666665,5824,6
3595254835304757311,1,240,24,4218.20264720923,3262.225516666667,477.0437972092299,478.93333333333334,6770,10
-6005473844894678220,1,240,24,2275.7812999249595,1412.8780666666667,522.436566591626,340.46666666666664,5960,8
7703372722667990794,1,240,24,4586.581040888999,3549.4896833333332,483.8913575556661,553.2,6364,9
398945061277320620,1,240,24,1416.28778873109,725.97705,458.31073873109,232.0,6044,5
-3071327468922444545,1,240,24,3207.6772870918876,2295.6885666666667,535.0220537585543,376.96666666666664,5949,8
-7125911273620511912,1,240,24,2114.4099098828933,1310.0342833333334,491.2422932162268,313.1333333333333,6392,4
-2669800448709824713,1,240,24,1751.2659024901411,994.8616333333333,491.22093582347446,265.18333333333334,6132,3
-5002973900145474782,1,240,24,3829.6308952980016,2757.611,527.0532286313351,544.9666666666667,6336,8
-2019173074006032591,1,240,24,3405.4047997051416,2456.43315,487.6883163718087,461.28333333333336,6152,7
7697919163338772533,1,240,24,3814.9911634369196,2826.1107666666667,503.08039677025266,485.8,7074,9
5688917821686937397,1,240,24,5158.152418641916,4045.394816666667,478.55760197524864,634.2,7644,8
8117381285654613292,1,240,24,3528.359198376478,2579.1726166666667,494.4865817098114,454.7,7784,5
-1694024405284514641,1,240,24,2918.5325108670804,2059.0995666666668,470.4996108670801,388.93333333333334,8224,8
-5933433613778370473,1,240,24,3437.0279796787136,2481.6133333333332,489.0479796787138,466.3666666666667,6689,8
1890966535325147282,1,240,24,4124.453849507182,3103.5239166666665,509.6299328405153,511.3,9458,8
139582348768921507,1,240,24,5068.561059623541,3942.7888666666668,502.1888596235417,623.5833333333334,9048,7
4793478946541561436,1,240,24,3444.955736567182,2517.4456833333334,483.3600532338489,444.15,8910,5
-5672999561783957641,1,240,24,5004.552308982294,3905.658033333333,488.81094231562787,610.0833333333334,9264,9
-8070134046143122544,1,240,24,1660.4542123908063,887.5766666666667,492.94421239080623,279.93333333333334,8348,5
2230406079368690614,1,240,24,3812.4909903068897,2798.7652333333335,493.4090903068896,520.3166666666667,8126,7
-1429210174061866434,1,240,24,2407.465982097363,1619.25595,473.093365430696,315.1166666666667,7474,5
5016547735207349668,1,240,24,2722.2603758225982,1868.8191333333334,496.6245758225982,356.81666666666666,7312,7
-1778827428813968722,1,240,24,2904.8888035723917,2010.7623333333333,516.2764702390587,377.85,7357,7
3146687996197291180,1,240,24,3465.1750962862925,2549.655133333333,477.2532962862928,438.26666666666665,7438,9
-4811714502765532510,1,240,24,4038.8188991562847,2943.4333833333335,525.6521824896182,569.7333333333333,6198,9
1076362903505898111,1,240,24,1850.4843912422664,1100.1390333333334,494.6453579089329,255.7,6135,5
